,AC.PA,ALO.PA,ATO.PA,ACA.PA,BN.PA,DSY.PA,EDEN.PA,EDF.PA,ENGI.PA,ERF.PA,RMS.PA,KER.PA,LI.PA,OR.PA,MC.PA,ML.PA,ORA.PA,RI.PA,PUB.PA,RNO.PA,SAF.PA,SGO.PA,SAN.PA,SU.PA,GLE.PA,TEP.PA,HO.PA,TTE.PA,URW.PA,DG.PA,VIV.PA,WLN.PA
20/02/2015,231836400,309726500,101332530,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1319367430,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
23/02/2015,231836400,309726500,101332530,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1319367430,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
24/02/2015,231836400,309726500,101332530,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1319367430,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
25/02/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1319367430,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
26/02/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1319367430,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
27/02/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1319367430,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
02/03/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
03/03/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126266490,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
04/03/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126267570,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,207841110,2385269530,98067680,590620480,1351600590,131926590
05/03/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,207841110,2385269530,98067680,590620480,1351600590,131926590
