"Date","ALL","PNC","MBI","AIG","HIG","UNM","HUM","KEY","CINF","GS","UNH","BK","NTRS","PGR","AXP","SEIC","FITB","ZION","CNA","BEN"
2023-01-12,0.538425469818926,0.871852085830299,0.554948516338287,0.808402268043644,0.798227182778732,0.515760608677232,0.523207601945433,0.861184862802994,0.643726079191547,0.873003550379464,0.62286790536505,0.815760820891853,0.835923613224378,0.58526529854415,0.834498055399504,0.807614046661331,0.859809479472638,0.819306235902165,0.763694239122636,0.773674481089773
2023-01-13,0.484316793557179,0.868935894864838,0.547383079616062,0.810974066261442,0.793450987604862,0.587125154694126,0.517976595487475,0.860038678846732,0.574345903349824,0.872594817209511,0.61620617853595,0.813845754748023,0.841195702830163,0.58878923379818,0.826686168413219,0.807171291249585,0.855255162173175,0.820547452275178,0.741374283654303,0.766239658769418
2023-01-17,0.495649535408522,0.865074243875381,0.54586286585032,0.811102415999709,0.799516724888596,0.587428564493535,0.516065427607676,0.861225363116169,0.6501605875901,0.872840626184022,0.599654879948173,0.81152530235727,0.843089788511814,0.590230502217422,0.826776143002969,0.806817144152822,0.857559808881857,0.821916329430465,0.745514405461454,0.767476691325677
2023-01-18,0.509366601628537,0.864193399648896,0.54652546899353,0.811363544178312,0.798850495193248,0.588210227069936,0.514712165517921,0.861647832899633,0.656186348380285,0.863480608667814,0.608788810181361,0.790193435297205,0.843582164230355,0.592926755467873,0.827504098539188,0.805347058719583,0.857990941399321,0.822996607459616,0.759242000444541,0.765457430695231
2023-01-19,0.555617515956569,0.864267649891795,0.547240054685404,0.81275636998966,0.798749865985374,0.726887079503027,0.514482274562343,0.863433316647462,0.678312401467826,0.780642537838873,0.640674692127507,0.788457421516631,0.838998774794647,0.593787829479399,0.828225565448153,0.802169844570269,0.859603434310163,0.823569063697925,0.743369951790709,0.760914492783364
2023-01-20,0.520567234608833,0.86211209109713,0.547468663867262,0.813236238857428,0.80000515783129,0.567854243280122,0.512661829276665,0.861010247089754,0.651432794901925,0.759745545774946,0.601544431851677,0.795011531506895,0.790093420477698,0.594812413194749,0.828236363670331,0.802384469036468,0.854605856031462,0.819862870832931,0.757448758981761,0.763320706450506
2023-01-23,0.525705567847554,0.854331197374371,0.543798762996589,0.811989688055785,0.799520312808951,0.618951257175654,0.510138214031769,0.858918179953868,0.675302254596507,0.580184052264401,0.606164627248212,0.801162058656736,0.811222129445673,0.600626194668155,0.829225715225723,0.802073163806876,0.854134428352542,0.818672643973254,0.714067895754874,0.76248271131083
2023-01-24,0.547683311510074,0.849890194962951,0.550733153402581,0.809510568606951,0.799215228478837,0.60309658549392,0.514143261718626,0.8592145454825,0.645411032691225,0.700388957187996,0.618895513949728,0.805246130442074,0.814976858477202,0.596282899461742,0.836959642812021,0.804682027609878,0.858958294945096,0.818693445429474,0.759798502284892,0.772143367986285
2023-01-25,0.519740145238609,0.852033989006264,0.543906187712698,0.813493704036752,0.802219652024827,0.613541426612216,0.510226150956107,0.858203033413762,0.649109283246632,0.629427082881064,0.6103620461244,0.804368374392115,0.813532003388253,0.600791061171132,0.852739598144169,0.803800490542241,0.854860371872796,0.827004425706929,0.747752744670523,0.762618036688489
2023-01-26,0.528596930689411,0.855183861889944,0.54338967887095,0.815103280175725,0.801601231967587,0.6167187497829,0.510177174024161,0.858419876509679,0.621707372727136,0.643845186924796,0.613918161941215,0.80998261149323,0.812618567357746,0.603251787408347,0.852626058990459,0.804516308088996,0.855265794760501,0.826905396835821,0.733503119688895,0.762794325431365
