Dates ASML_Holding LVMH Lindle_PLC TOTALENERGIES SANOFI SAP L'OREAL SIEMENS ALLIANZ SCHNEIDER Deutsche_Telekom AIR_LIQUIDE IBERDROLA AIRBUS BNPP BAYER AXA VINCI Prosus Essilor Hermès Anheuser Mercedes Santander RICARD BASF ADYEN SAFRAN ENEL Münchener KERING ING Nordea Deutsche_Borse Danone Intesa Deutsche_Post Infineon Stellantis BBVA AHOLD ENI Volkswagen CRH Nokia Inditex BMW Adidas Flutter VONOVIA EUROSTOXX50
03/02/2022 659.090027 829.000000 319.070007 56.759998 52.150002 124.279999 379.100006 141.679993 226.850006 151.600006 16.870001 139.545456 10.305000 115.379997 64.699997 54.000000 28.355000 97.849998 74.769997 174.759995 1352.000000 62.250000 70.160004 3.750000 194.050003 68.250000 1761.400024 111.139999 6.888000 279.549988 686.000000 15.030000 112.300003 157.699997 55.130001 2.686000 53.889999 37.134998 19.820000 6.530000 29.010000 30.440001 186.020004 52.220001 5.840000 29.719999 94.500000 245.350006 11115.000000 50.020000 4242.740234
04/02/2022 648.049988 813.169983 301.410004 58.020000 50.889999 124.540001 383.049988 140.360001 227.100006 153.160004 17.240000 140.290909 10.135000 112.860001 63.290001 53.799999 28.445000 98.169998 72.430000 176.399994 1355.000000 60.939999 70.160004 3.700000 195.399994 67.870003 1741.400024 109.839996 6.830000 277.200012 670.700012 14.960000 111.800003 154.850006 56.029999 2.708000 54.549999 35.799999 18.910000 6.480000 29.219999 30.850000 183.220001 51.040001 5.730000 29.200001 93.370003 246.750000 10770.000000 50.439999 4215.410156
07/02/2022 654.150024 810.349976 296.709991 58.250000 52.750000 127.709999 372.549988 138.000000 226.399994 149.520004 17.275999 137.236359 9.912000 111.940002 66.000000 53.240002 28.365000 100.000000 71.550003 171.899994 1310.000000 61.049999 70.160004 3.780000 191.800003 67.660004 1670.000000 107.980003 6.875000 267.600006 663.500000 15.180000 110.000000 155.500000 55.520000 2.779000 53.599998 35.009998 18.750000 6.570000 29.129999 30.209999 182.259995 50.720001 5.650000 28.780001 94.360001 242.800003 10575.000000 50.279999 4154.750000
08/02/2022 636.849976 811.719971 296.519989 59.369999 53.580002 125.279999 370.049988 134.460007 224.100006 147.960007 17.100000 134.309097 9.750000 111.879997 65.000000 52.869999 27.625000 99.279999 70.900002 172.740005 1310.000000 61.830002 68.320000 3.870000 190.399994 67.019997 1665.000000 106.500000 6.650000 268.649994 655.000000 15.800000 110.900002 156.500000 55.000000 2.695000 52.570000 34.040001 18.620001 6.700000 28.639999 30.200001 177.039993 50.790001 5.670000 28.830000 90.290001 242.199997 11120.000000 48.959999 4101.890137
09/02/2022 670.789978 814.250000 302.769989 59.500000 53.349998 125.550003 373.200012 136.020004 227.850006 148.660004 17.146000 133.509094 9.502000 113.000000 63.250000 53.330002 28.129999 98.589996 70.209999 174.080002 1281.000000 61.959999 67.449997 3.920000 190.399994 67.139999 1700.000000 107.599998 6.439000 273.200012 649.299988 15.830000 112.500000 157.899994 55.639999 2.720000 52.400002 33.025002 19.379999 6.790000 28.594999 30.250000 175.960007 52.080002 5.730000 29.980000 89.760002 240.449997 11145.000000 48.459999 4117.209961
10/02/2022 654.590027 797.020020 309.690002 58.709999 52.910000 123.540001 373.200012 137.720001 230.850006 148.720001 17.450001 133.090912 9.468000 115.739998 66.449997 52.830002 28.730000 101.940002 72.529999 176.559998 1284.000000 63.070000 68.400002 3.940000 191.500000 68.330002 1800.000000 109.699997 6.380000 272.950012 647.000000 15.520000 112.580002 158.449997 55.790001 2.780000 52.740002 33.040001 19.120001 6.860000 28.945000 30.090000 179.000000 51.490002 5.670000 30.080000 90.599998 241.250000 11120.000000 47.759998 4140.410156
11/02/2022 657.539978 797.849976 306.980011 59.270000 53.360001 123.629997 369.399994 141.619995 231.649994 151.779999 17.650000 132.872726 9.574000 117.279999 66.940002 53.560001 28.850000 102.320000 73.419998 179.160004 1299.500000 63.270000 70.540001 3.930000 195.699997 68.669998 1995.000000 113.300003 6.499000 274.799988 649.500000 15.160000 111.000000 159.500000 54.959999 2.849000 53.820000 34.544998 19.190001 6.760000 29.215000 30.480000 188.139999 51.360001 5.670000 29.860001 93.110001 245.949997 10985.000000 48.450001 4208.200195
14/02/2022 626.150024 760.000000 294.220001 58.580002 52.540001 118.589996 360.000000 140.820007 227.449997 150.000000 17.500000 133.490906 9.450000 116.599998 65.720001 54.279999 28.500000 102.000000 70.000000 172.139999 1230.000000 62.500000 69.010002 3.830000 191.050003 68.320000 1801.800049 113.459999 6.351000 270.899994 621.000000 14.650000 108.900002 156.300003 54.810001 2.876500 52.520000 33.509998 18.510000 6.550000 29.139999 30.530001 184.199997 49.709999 5.480000 28.900000 91.589996 240.000000 10955.000000 47.799999 4170.729980
15/02/2022 647.479980 773.849976 300.570007 57.439999 52.770000 120.209999 358.399994 137.399994 223.399994 143.500000 17.299999 129.181824 9.300000 115.000000 62.610001 52.849998 27.900000 100.559998 68.529999 165.000000 1185.000000 62.110001 71.970001 3.870000 190.000000 67.000000 1805.800049 112.500000 6.334000 265.000000 600.299988 14.690000 109.680000 157.000000 54.720001 2.760000 51.200001 32.355000 18.990000 6.580000 29.004999 30.020000 181.899994 49.880001 5.510000 28.980000 92.419998 230.399994 11045.000000 47.220001 4125.310059
16/02/2022 651.000000 782.820007 301.309998 57.669998 52.980000 119.860001 352.549988 138.960007 221.949997 141.960007 17.344000 129.090912 9.106000 115.500000 61.490002 52.610001 27.514999 100.000000 67.860001 163.759995 1188.500000 63.740002 74.150002 3.820000 191.699997 66.160004 1861.599976 111.800003 6.281000 261.250000 613.900024 14.540000 109.400002 157.050003 54.770000 2.765500 51.070000 32.250000 19.379999 6.530000 28.730000 29.920000 182.100006 50.090000 5.740000 28.840000 92.430000 229.800003 10835.000000 47.270000 4059.250000
